size,m,n,mean,std,k
50,10,5,12.139549495777642,20.49525657797898,2
510050,1010,505,1967.8771084111663,496.57859664217136,50
2020050,2010,1005,3796.1244647022177,534.6718542959225,100
4530050,3010,1505,5625.6569443401895,493.2136468748628,150
8040050,4010,2005,7406.072149435947,531.039874432962,200
12550050,5010,2505,9156.468035614835,479.9854680096338,250
18060050,6010,3005,10888.99280187583,545.7293500812805,300
24570050,7010,3505,12712.290291470053,558.277851687617,350
32080050,8010,4005,14464.198617604061,526.520416732966,400
40590050,9010,4505,16223.940812015335,538.4378993334415,450
